片名,年代,产地,类别,豆瓣评分,迅雷下载链接
迦百农,2018,黎巴嫩/法国/美国,剧情,8.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:7400/阳光电影www.ygdy8.com.迦百农.BD.720p.中文字幕.mkv
无敌破坏王2：大闹互联网,2018,美国,喜剧/动画/奇幻/冒险,8.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3192/阳光电影www.ygdy8.com.无敌破坏王2：大闹互联网.BD.720p.国粤英三语.中英双字幕.mkv
本回家了,2018,美国,剧情,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:8399/阳光电影www.ygdy8.com.本回家了.BD.720p.中英双字幕.mkv
速成家庭,2018,美国,剧情/喜剧,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7399/阳光电影www.ygdy8.com.速成家庭.BD.720p.中英双字幕.mkv
宁静,2019,美国,剧情/惊悚,6.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:4121/阳光电影www.ygdy8.com.宁静.BD.720p.中英双字幕.mkv
物怪,2018,韩国,动作/奇幻,5.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8480/阳光电影www.ygdy8.com.物怪.BD.720p.韩语中字.mkv
奎迪：英雄再起,2018,美国,剧情/运动,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8396/阳光电影www.ygdy8.com.奎迪：英雄再起.BD.720p.中英双字幕.mkv
64号病历,2018,丹麦/德国,悬疑/惊悚/犯罪,6.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:7396/阳光电影www.ygdy8.com.64号病历.BD.720p.中文字幕.mkv
徒手攀岩,2018,美国,纪录片,9.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8395/阳光电影www.ygdy8.com.徒手攀岩.BD.720p.中英双字幕.mkv
麻药王,2018,韩国,剧情/动作/犯罪,5.6,ftp://ygdy8:ygdy8@yg72.dydytt.net:8347/阳光电影www.ygdy8.com.麻药王.BD.720p.韩语中字.mkv
蜘蛛侠：平行宇宙,2018,美国,动作/科幻/动画/冒险,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:4120/阳光电影www.ygdy8.com.蜘蛛侠：平行宇宙.HD.720p.中英双字幕.mkv
绿皮书,2018,美国,剧情/喜剧/传记,8.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:3190/阳光电影www.ygdy8.com. 绿簿旅友.HD.720p.中英双字幕.mkv
神奇动物：格林德沃之罪,2018,美国/英国,奇幻/冒险,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:4119/阳光电影www.ygdy8.com.神奇动物：格林德沃之罪.BD.720p.国英双语双字.mkv
狂暴巨兽,2018,美国,动作/科幻/冒险,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8394/阳光电影www.ygdy8.com.狂暴巨兽.BD.720p.国英双语双字.mkv
猎凶风河谷,2017,英国/加拿大/美国,剧情/悬疑/犯罪,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7393/阳光电影www.ygdy8.com.猎凶风河谷.BD.720p.中英双字幕.mkv
看不见的客人,2017,西班牙,剧情/悬疑/惊悚/犯罪,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8393/阳光电影www.ygdy8.com.看不见的客人.BD.720p.国西双语中英双字.mkv
头号玩家,2018,美国,动作/科幻/冒险,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3189/阳光电影www.ygdy8.com.头号玩家.BD.720p.国英双语双字.mkv
死侍2,2018,美国,喜剧/动作/科幻/冒险,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8392/阳光电影www.ygdy8.com.死侍2未分级加长版.BD.720p.中英双字幕.mkv
神奇动物：格林德沃之罪,2018,美国/英国,奇幻/冒险,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:4118/阳光电影www.ygdy8.com.神奇动物：格林德沃之罪.BD.720p.中英双字幕.mkv
Long Day's Journey Into Night,2018,中国/法国,剧情/爱情/悬疑,6.9,ftp://ygdy8:ygdy8@yg90.dydytt.net:8472/阳光电影www.ygdy8.com.地球最后的夜晚.HD.1080p.国语中英双字.mkv
宠儿,2018,爱尔兰/英国/美国,剧情/喜剧/同性/传记,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3188/阳光电影www.ygdy8.com.宠儿.BD.720p.中英双字幕.mkv
古墓丽影：源起之战,2018,美国,动作/冒险,6.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:4117/阳光电影www.ygdy8.com.古墓丽影：源起之战.BD.720p.国英双语双字.mkv
无敌破坏王2：大闹互联网,2018,美国,喜剧/动画/奇幻/冒险,8.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3187/阳光电影www.ygdy8.com.无敌破坏王2：大闹互联网.HD.720p.中英双字幕.mkv
罗马,2018,墨西哥/美国,剧情/家庭,8.1,ftp://ygdy8:ygdy8@yg72.dydytt.net:8343/阳光电影www.ygdy8.com.罗马.BD.720p.中英双字幕.mkv
我身体里的那个家伙,2018,韩国,剧情 / 喜剧,7.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8470/阳光电影www.ygdy8.com.我身体里的那个家伙.BD.720p.韩语中字.mkv
克隆人,2018,英国/中国大陆/波多黎各/美国,科幻/悬疑/犯罪,6.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:8388/阳光电影www.ygdy8.com.克隆人.HD.720p.中英双字幕.mkv
霸主,2018,美国/加拿大,动作/科幻/恐怖/战争,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:7388/阳光电影www.ygdy8.com.霸主.HD.720p.中英双字幕.mkv
叶问外传：张天志,2018,中国/中国香港,剧情/动作,6.0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8469/阳光电影www.ygdy8.com.叶问外传：张天志.HD.720p.国粤双语中字.mkv
Kill Mobile,2018,中国,剧情/喜剧,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:4116/阳光电影www.ygdy8.com.来电狂响.HD.1080p.国语中英双字.mkv
罗宾汉,2018,美国,动作/冒险,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3186/阳光电影www.ygdy8.com.罗宾汉.BD.720p.中英双字幕.mkv
银魂2,2018,日本,喜剧/动作/冒险,7.5,ftp://ygdy8:ygdy8@yg90.dydytt.net:8467/阳光电影www.ygdy8.com.银魂2.BD.720p.日语中字.mkv
念念手纪,2017,日本,剧情/爱情,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8387/阳光电影www.ygdy8.com.念念手纪.HD.720p.国日双语中字.mkv
谁先爱上他的,2018,中国台湾,剧情/喜剧/同性/家庭,8.6,ftp://ygdy8:ygdy8@yg90.dydytt.net:8466/阳光电影www.ygdy8.com.谁先爱上他的.BD.720p.国语中字.mkv
Fighting Men of China,2018,中国,剧情,4.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:8385/阳光电影www.ygdy8.com.中国合伙人2.HD.720p.国语中英双字.mkv
无双,2018,中国/中国香港,剧情/动作/犯罪,8.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:7385/阳光电影www.ygdy8.com.无双.BD.720p.中英双字幕.mkv
未来的未来 ,2018,日本,动画/奇幻,6.6,ftp://ygdy8:ygdy8@yg72.dydytt.net:8342/阳光电影www.ygdy8.com.未来的未来.BD.720p.粤日双语中字.mkv
掠食城市,2018,美国/新西兰,动作/科幻/冒险,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:3185/阳光电影www.ygdy8.com.移动城市：致命引擎.BD.720p.中英双字幕.mkv
绿毛怪格林奇,2018,法国/中国/日本/美国,喜剧/动画/奇幻,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8384/阳光电影www.ygdy8.com.绿毛怪格林奇.BD.720p.中英双字幕.mkv
绝地隧战,2018,韩国,动作,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:7384/阳光电影www.ygdy8.com.绝地隧战.HD.720p.中文字幕.mkv
恋如雨止 ,2018,日本,剧情/爱情,7.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8465/阳光电影www.ygdy8.com.恋如雨止.BD.720p.日语中字.mkv
Kung Fu Monster,2018,中国/中国香港,喜剧/奇幻/武侠,3.8,ftp://ygdy8:ygdy8@yg72.dydytt.net:8341/阳光电影www.ygdy8.com.武林怪兽.HD.1080p.国粤双语中字.mkv
调琴师 ,2018,印度,喜剧/惊悚/犯罪,8.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:4114/阳光电影www.ygdy8.com.调琴师.BD.720p.中文字幕.mkv
寡妇联盟,2018,英国,剧情/惊悚/犯罪,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:4113/阳光电影www.ygdy8.com.寡妇联盟.BD.720p.中英双字幕.mkv
China Peacekeeping Forces,2018,中国,剧情/动作/战争,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:3182/阳光电影www.ygdy8.com.中国蓝盔.HD.720p.国语中英双字.mkv
私人战争,2018,美国,剧情/传记/战争,7.4,ftp://ygdy8:ygdy8@yg72.dydytt.net:8339/阳光电影www.ygdy8.com.私人战争.BD.720p.中英双字幕.mkv
极线杀手,2019,美国/德国,动作,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:4112/阳光电影www.ygdy8.com.极线杀手.BD.720p.中英双字幕.mkv
波西米亚狂想曲 ,2018,英国 / 美国,剧情 / 音乐 / 传记,8.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:8383/阳光电影www.ygdy8.com.波西米亚狂想曲.BD.720p.中英双字幕.mkv
大师兄,2018,中国/中国香港,喜剧/动作,0,ftp://ygdy8:ygdy8@yg45.dydytt.net:7383/阳光电影www.ygdy8.com.大师兄.BD.720p.国粤双语中字.mkv
海王,2018,美国/澳大利亚,动作/奇幻/冒险,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:8382/阳光电影www.ygdy8.com.海王.HD.720p.韩版英语中字.mkv
罗宾汉,2018,美国,动作/冒险,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:7382/阳光电影www.ygdy8.com.罗宾汉.HD.720p.韩版中英双字幕.mkv
玛德琳的玛德琳,2018,美国,剧情 / 悬疑 / 惊悚,6.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8381/阳光电影www.ygdy8.com.玛德琳的玛德琳.BD.720p.中英双字幕.mkv
贤妻 ,2018,瑞典 / 美国 / 英国,剧情,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:7381/阳光电影www.ygdy8.com.贤妻.BD.720p.中英双字幕.mkv
贼王,2018,英国,剧情/动作/犯罪,5.7,ftp://ygdy8:ygdy8@yg72.dydytt.net:8337/阳光电影www.ygdy8.com.贼王.BD.720p.英语中字.mkv
无双,2018,中国/中国香港,剧情/动作/犯罪,8.2,ftp://ygdy8:ygdy8@yg90.dydytt.net:8463/阳光电影www.ygdy8.com.无双.HD.720p.粤语中字.mkv
胡桃夹子和四个王国 ,2018,美国,奇幻/冒险,6.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:7380/阳光电影www.ygdy8.com.胡桃夹子和四个王国.BD.720p.中英双字幕.mkv
阴风阵阵 ,2018,美国 / 意大利,惊悚 / 恐怖,6.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:8380/阳光电影www.ygdy8.com.阴风阵阵.BD.720p.中英双字幕.mkv
大黄蜂,2018,美国,动作/科幻/冒险,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3181/阳光电影www.ygdy8.com.大黄蜂.HD.720p.韩版英语中字.mkv
少女地球守护者 ,2019,美国,科幻,4.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:4110/阳光电影www.ygdy8.com.少女地球守护者.BD.720p.中英双字幕.mkv
贴身女保镖,2019,美国,动作/惊悚,5.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8462/阳光电影www.ygdy8.com.贴身女保镖.BD.720p.中英双字幕.mkv
奇妙幽灵,2018,韩国,喜剧/奇幻,5.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:3180/阳光电影www.ygdy8.com.奇妙幽灵.BD.720p.韩语中字.mkv
一个明星的诞生 ,2018,美国,剧情 / 爱情 / 音乐,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:4109/阳光电影www.ygdy8.com.一个明星的诞生.BD.720p.中英双字幕.mkv
复仇岛,2018,韩国,动作,5.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3179/阳光电影www.ygdy8.com.复仇岛.BD.720p.韩语中字.mkv
蜘蛛网中的女孩 ,2018,美国,剧情/动作/惊悚/犯罪,6.2,ftp://ygdy8:ygdy8@yg90.dydytt.net:8461/阳光电影www.ygdy8.com.蜘蛛网中的女孩.BD.720p.中英双字幕.mkv
侏罗纪世界2,2018,美国/西班牙,动作/科幻/冒险,6.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:8379/阳光电影www.ygdy8.com.侏罗纪世界2.BD.720p.国英双语双字.mkv
我杀死了巨人,2018,美国/英国/比利时,剧情/惊悚/奇幻,5.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:7379/阳光电影www.ygdy8.com.我杀死了巨人.BD.720p.中英双字幕.mkv
冰海陷落,2018,英国/中国/美国,动作/惊悚,6.7,ftp://ygdy8:ygdy8@yg90.dydytt.net:8460/阳光电影www.ygdy8.com.冰海陷落.BD.720p.中英双字幕.mkv
完美的他人,2018,韩国,剧情/喜剧/悬疑,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:4108/阳光电影www.ygdy8.com.完美的他人.BD.720p.韩语中字.mkv
第一缕曙光,2018,加拿大,科幻 / 惊悚,5.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:4107/阳光电影www.ygdy8.com.第一缕曙光.BD.720p.中英双字幕.mkv
永不言弃,2018,日本,剧情,4.9,ftp://ygdy8:ygdy8@yg90.dydytt.net:8459/阳光电影www.ygdy8.com.永不言弃.BD.720p.日语中字.mkv
雪中灰,2018,美国/立陶宛,剧情/历史,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8458/阳光电影www.ygdy8.com.雪中灰.BD.720p.中英双字幕.mkv
蒙上你的眼 ,2018,美国,剧情 / 科幻 / 惊悚,7.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:3177/阳光电影www.ygdy8.com.蒙上你的眼.BD.720p.中英双字幕.mkv
欢迎回家,2019,美国,惊悚,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8457/阳光电影www.ygdy8.com.欢迎回家.BD.720p.中英双字幕.mkv
地牢回忆,2018,西班牙/乌拉圭,剧情/历史/犯罪,7.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8456/阳光电影www.ygdy8.com.地牢回忆.BD.720p.中英双字幕.mkv
极速杀机,2019,美国,剧情/传记,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:6153/阳光电影www.ygdy8.com.极速杀机.BD.720p.中英双字幕.mkv
哥斯拉：噬星者 ,2018,日本,动作 / 科幻 / 动画,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3176/阳光电影www.ygdy8.com.哥斯拉：噬星者.BD.720p.国日双语中英双字.mkv
肆式青春,2018,日本/中国,动画,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8377/阳光电影www.ygdy8.com.肆式青春.BD.720p.国日双语双字.mkv
哥斯拉：决战之都,2018,日本,动画/科幻,6.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:7377/阳光电影www.ygdy8.com.哥斯拉：决战之都.BD.720p.日英双语双字.mkv
The Moment of Pluto,2018,中国,剧情,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3175/阳光电影www.ygdy8.com.冥王星时刻.HD.1080p.国语中英双字.mp4
鸡皮疙瘩2：闹鬼万圣节 ,2018,美国,喜剧 / 恐怖 / 奇幻 / 冒险,5.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8454/阳光电影www.ygdy8.com.鸡皮疙瘩2：闹鬼万圣节.BD.720p.中英双字幕.mkv
Einstein & Einstein,2013,中国,剧情/家庭,8.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8376/阳光电影www.ygdy8.com.狗十三.HD.720p.国语中英双字.mkv
坚不可摧：救赎之路,2018,美国,剧情/传记,5.1,ftp://ygdy8:ygdy8@yg72.dydytt.net:8329/阳光电影www.ygdy8.com.坚不可摧：救赎之路.BD.720p.中英双字幕.mkv
守塔人,2018,英国,惊悚/悬疑,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8452/阳光电影www.ygdy8.com.守塔人.BD.720p.中英双字幕.mkv
白人男孩瑞克 ,2018,美国,剧情/犯罪,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:3174/阳光电影www.ygdy8.com.白人男孩瑞克.BD.720p.中英双字幕.mkv
A Cool Fish,2018,中国,剧情/喜剧,8.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3171/阳光电影www.ygdy8.com.无名之辈.HD.1080p.国语中英双字.mp4
切小金家的旅馆,2018,中国台湾,喜剧/恐怖/悬疑,6.7,ftp://ygdy8:ygdy8@yg90.dydytt.net:8449/阳光电影www.ygdy8.com.切小金家的旅馆.BD.720p.国语中字.mkv
七大罪：天空的囚人 ,2018,日本,动画 / 奇幻 / 冒险,6.0,ftp://ygdy8:ygdy8@yg72.dydytt.net:8328/阳光电影www.ygdy8.com.七大罪：天空的囚人.BD.720p.中英双字幕.mkv
3D冰封侠2,2018,中国/中国香港,动作/奇幻,2.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:8375/阳光电影www.ygdy8.com.冰封侠：时空行者.BD.720p.国粤双语中字.mkv
艾什,2018,美国,剧情/动作/惊悚/犯罪,6.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:7375/阳光电影www.ygdy8.com.艾什.BD.720p.中英双字幕.mkv
黑镜：潘达斯奈基 ,2018,英国 / 美国,剧情 / 科幻 / 悬疑 / 惊悚,7.6,ftp://ygdy8:ygdy8@yg72.dydytt.net:8325/阳光电影www.ygdy8.com.黑镜：潘达斯奈基.BD.720p.中英双字幕.mkv
愤怒的黄牛,2018,韩国,动作/犯罪,5.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:3169/阳光电影www.ygdy8.com.愤怒的黄牛.BD.720p.韩语中字.mkv
90年代中期,2018,美国,剧情 / 喜剧,7.1,ftp://ygdy8:ygdy8@yg90.dydytt.net:8447/阳光电影www.ygdy8.com.90年代中期.BD.720p.中英双字幕.mkv
盗潜黄金城,2017,德国/法国/比利时/美国,喜剧/动作/犯罪,5.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3168/阳光电影www.ygdy8.com.盗潜黄金城.BD.720p.中英双字幕.mkv
22号追击者,2018,加拿大,剧情 / 动作,0,ftp://ygdy8:ygdy8@yg72.dydytt.net:8324/阳光电影www.ygdy8.com.22号追击者.BD.720p.中英双字幕.mkv
Golden Job,2018,中国,动作/犯罪,5.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:8373/阳光电影www.ygdy8.com.黄金兄弟.BD.720p.粤语中字.mkv
机器猛犬,2018,美国,科幻/冒险,4.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3166/阳光电影www.ygdy8.com.机器猛犬.BD.720p.中英双字幕.mkv
神奇动物：格林德沃之罪,2018,美国/英国,奇幻/冒险,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3165/阳光电影www.ygdy8.com.神奇动物：格林德沃之罪.HD.720p.韩版中英双字幕.mkv
毒液：致命守护者,2018,美国/中国,动作/科幻/惊悚,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:8372/阳光电影www.ygdy8.com.毒液：致命守护者.BD.720p.国英双语双字.mkv
皇家酒店谋杀案,2018,美国,悬疑/惊悚,6.9,ftp://ygdy8:ygdy8@yg72.dydytt.net:8319/阳光电影www.ygdy8.com.皇家酒店谋杀案.BD.720p.中英双字幕.mkv
月光光心慌慌,2018,美国,惊悚/恐怖,6.3,ftp://ygdy8:ygdy8@yg72.dydytt.net:8318/阳光电影www.ygdy8.com.月光光心慌慌.BD.720p.中英双字幕.mkv
欢乐时光谋杀案,2018,美国,喜剧/动作/悬疑/犯罪,6.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8441/阳光电影www.ygdy8.com.欢乐时光谋杀案.BD.720p.中英双字幕.mkv
女人之名,2018,意大利,剧情,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8440/阳光电影www.ygdy8.com.女人之名.BD.720p.意大利语中字.mkv
Endless Loop,2018,中国,悬疑/犯罪/惊悚,5.5,ftp://ygdy8:ygdy8@yg72.dydytt.net:8317/阳光电影www.ygdy8.com.黑暗迷宫.HD.1080p.国语中字.mkv
无双,2018,中国/中国香港,剧情/动作/犯罪,8.2,ftp://ygdy8:ygdy8@yg72.dydytt.net:8316/阳光电影www.ygdy8.com.无双.HD.1080p.国语中字.mp4
希斯特斯兄弟,2018,美国/法国/罗马尼亚/西班牙,犯罪/西部/冒险,7.5,ftp://ygdy8:ygdy8@yg90.dydytt.net:8439/阳光电影www.ygdy8.com.希斯特斯兄弟.BD.720p.中英双字幕.mkv
憨豆特工3,2018,法国/美国/英国,喜剧/动作/冒险,6.7,ftp://ygdy8:ygdy8@yg45.dydytt.net:3164/阳光电影www.ygdy8.com.憨豆特工3.BD.720p.中英双字幕.mkv
丽兹 ,2018,美国,剧情 / 传记 / 犯罪,6.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:4106/阳光电影www.ygdy8.com.丽兹.BD.720p.中英双字幕.mkv
保镖,2018,法国,剧情/动作/犯罪,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8437/阳光电影www.ygdy8.com.保镖.BD.720p.英语中字.mkv
登月第一人,2018,美国,剧情/传记/历史,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:3162/阳光电影www.ygdy8.com.登月第一人.BD.720p.中英双字幕.mkv
回溯者 ,2018,美国,动作,0,ftp://ygdy8:ygdy8@yg90.dydytt.net:8435/阳光电影www.ygdy8.com.回溯者.BD.720p.中英双字幕.mkv
"Hello, Mrs. Money",2018,中国,喜剧,5.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:7370/阳光电影www.ygdy8.com.李茶的姑妈.HD.1080p.国语中英双字.mp4
Baby,2018,中国,剧情,5.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:3161/阳光电影www.ygdy8.com.宝贝儿.HD.1080p.国语中英双字.mp4
动物之家婚礼记,2017,法国/比利时,喜剧/爱情,6.3,ftp://ygdy8:ygdy8@yg72.dydytt.net:8311/阳光电影www.ygdy8.com.动物之家婚礼记.BD.720p.法语中字.mkv
一个小忙,2018,美国/加拿大,剧情/悬疑/犯罪,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8369/阳光电影www.ygdy8.com.一个小忙.BD.720p.中英双字幕.mkv
河流如血,2018,美国,惊悚/犯罪,5.1,ftp://ygdy8:ygdy8@yg90.dydytt.net:8432/阳光电影www.ygdy8.com.河流如血.BD.720p.中英双字幕.mkv
摄影机不要停！ ,2018,日本,喜剧 / 恐怖,8.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:8368/阳光电影www.ygdy8.com.摄影机不要停！.BD.720p.日语中字.mkv
森林之子毛克利,2018,美国,剧情/冒险,6.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8429/阳光电影www.ygdy8.com.森林之子毛克利.BD.720p.中英双字幕.mkv
Last Letter,2018,中国,剧情/爱情,7.0,ftp://ygdy8:ygdy8@yg45.dydytt.net:8365/阳光电影www.ygdy8.com.你好，之华.HD.1080p.国语中字.mp4
Ala Changso,2018,中国大陆,剧情 / 家庭,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8364/阳光电影www.ygdy8.com.阿拉姜色.HD.720p.国语中字.mkv
Crystal Sky of Yesterday,2018,中国,爱情/动画,6.1,ftp://ygdy8:ygdy8@yg72.dydytt.net:8309/阳光电影www.ygdy8.com.昨日青空.HD.1080p.国语中字.mkv
Fat Buddies,2018,中国,喜剧/动作,3.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:6151/阳光电影www.ygdy8.com.胖子行动队.HD.720p.国语中英双字.mkv
"Lost, Found",2018,中国,剧情,7.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3160/阳光电影www.ygdy8.com.找到你.HD.1080p.国语中英双字.mp4
雪怪大冒险,2018,美国,喜剧/动画/冒险,7.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:3159/阳光电影www.ygdy8.com.雪怪大冒险.BD.720p.中英双字幕.mkv
猖獗,2018,韩国,动作/恐怖,5.5,ftp://ygdy8:ygdy8@yg72.dydytt.net:8308/阳光电影www.ygdy8.com.猖獗.BD.720p.韩语中字.mkv
拉普拉斯的魔女 ,2018,日本,剧情 / 悬疑,5.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8363/阳光电影www.ygdy8.com.拉普拉斯的魔女.BD.720p.日语中字.mkv
Shadow,2018,中国,剧情/动作/武侠/古装,7.4,ftp://ygdy8:ygdy8@yg45.dydytt.net:8362/阳光电影www.ygdy8.com.影.HD.1080p.国语中英双字.mp4
嗝嗝老师,2018,印度,剧情/喜剧,7.5,ftp://ygdy8:ygdy8@yg72.dydytt.net:8306/阳光电影www.ygdy8.com.嗝嗝老师.BD.720p.中英双字幕.mkv
毒液：致命守护者,2018,美国/中国,动作/科幻/惊悚,7.3,ftp://ygdy8:ygdy8@yg90.dydytt.net:8425/阳光电影www.ygdy8.com.毒魔.HD.720p.中英双字幕.mkv
0,0,0,0,0,0
滴答屋,2018,美国/印度/加拿大,喜剧/奇幻/冒险,5.6,ftp://ygdy8:ygdy8@yg45.dydytt.net:8361/阳光电影www.ygdy8.com.滴答屋.BD.720p.中英双字幕.mkv
Kung Fu League,2018,中国,剧情/动作,3.4,ftp://ygdy8:ygdy8@yg72.dydytt.net:8305/阳光电影www.ygdy8.com.功夫联盟.HD.1080p.国粤双语中字.mkv
孤狼之血,2018,日本,剧情/动作/犯罪,7.8,ftp://ygdy8:ygdy8@yg45.dydytt.net:8360/阳光电影www.ygdy8.com.孤狼之血.BD.720p.日语中字.mkv
铁血战士,2018,美国/加拿大,动作/科幻/惊悚/冒险,5.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:3157/阳光电影www.ygdy8.com.铁血战士.HD.720p.中英双字幕.mkv
House of The Rising Sons,2018,中国香港/中国,剧情/励志,5.9,ftp://ygdy8:ygdy8@yg45.dydytt.net:3156/阳光电影www.ygdy8.com.兄弟班.BD.720p.国粤双语中字.mkv
拯救圣诞记 ,2018,美国,喜剧,7.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:8359/阳光电影www.ygdy8.com.拯救圣诞记.BD.720p.中英双字幕.mkv
An Elephant Sitting Still,2018,中国,剧情,8.1,ftp://ygdy8:ygdy8@yg45.dydytt.net:4103/阳光电影www.ygdy8.com.大象席地而坐导演剪辑版.HD.720p.国语中字.mkv
网络谜踪,2018,美国/俄罗斯,剧情/悬疑/惊悚,8.5,ftp://ygdy8:ygdy8@yg45.dydytt.net:3155/阳光电影www.ygdy8.com.网络谜踪.BD.720p.中英双字幕.mkv
The Island,2018,中国,剧情/喜剧,7.3,ftp://ygdy8:ygdy8@yg72.dydytt.net:8302/阳光电影www.ygdy8.com.一出好戏.BD.720p.国语中字.mkv
一个明星的诞生 ,2018,美国,剧情 / 爱情 / 音乐,7.3,ftp://ygdy8:ygdy8@yg45.dydytt.net:4102/阳光电影www.ygdy8.com.一个明星的诞生.HD.720p.韩版中英双字幕.mkv
Hidden Man,2018,中国,剧情/喜剧/动作,7.2,ftp://ygdy8:ygdy8@yg45.dydytt.net:3154/阳光电影www.ygdy8.com.邪不压正.HD.1080p.国语中字.mp4
